id	Non-malignant	Non-malignant	Claudin-low	Non-malignant	Claudin-low	Non-malignant	Claudin-low	Claudin-low	Claudin-low	Non-malignant	Claudin-low
ENSG00000179148.8	2.054123734	1.342864803	0.548121409	1.60743591	0.570979547	1.798404012	0.086177696	0.039220713	0.019802627	1.605429891	0.139761942
ENSG00000186493.10	4.108904714	4.324132656	NA	3.686125666	NA	2.960623096	0.688134639	NA	1.8017098	3.851210866	0
ENSG00000114541.13	2.878636502	2.596746132	0	2.851284369	0.708035793	1.882513832	0.231111721	0.039220713	0.932164081	2.478217662	0.378436436
ENSG00000138271.5	3.967646909	3.936325298	NA	3.765377425	0.418710335	3.040705639	NA	NA	0.048790164	3.228826156	0.039220713
ENSG00000014216.14	5.755299077	5.877791803	3.934957977	5.395444077	4.157006323	5.4099929	3.721830554	4.050392675	4.3883814	5.205269625	3.93808054
ENSG00000241484.8	3.32323584	3.608211551	0.173953307	2.672768387	0	2.428336298	1.01884732	0.182321557	0.712949808	2.801540544	0.139761942
ENSG00000196754.9	8.845624616	8.278702472	4.427836171	8.829200004	2.294552921	7.341308853	4.455857783	4.970229879	4.216562195	8.892641606	2.911807039
ENSG00000169594.11	3.471966453	3.401530659	NA	3.586015819	NA	3.611458307	1.32175584	0.019802627	NA	3.584629433	0
ENSG00000175707.8	3.025291076	3.048798994	0.058268908	2.938632682	0.182321557	2.360854001	0.029558802	0	0.122217633	2.670694415	0.039220713
ENSG00000058085.13	5.314731908	4.698842662	0.21511138	6.153434576	2.651832521	6.985669569	1.652497402	0.285178942	1.217875709	6.156215983	1.671473303
ENSG00000135525.17	1.81319475	2.411439498	0.604315967	2.224623552	NA	1.652497402	0.262364264	NA	NA	2.366498419	0.067658648
ENSG00000164976.8	2.261763098	2.17702187	1.172482137	2.1102132	1.124929597	2.191653532	0.943905899	0.431782416	0.770108222	2.414126468	1.088561953
ENSG00000204576.10	1.873339456	1.711994501	3.528123675	2.059238834	3.132009892	2.335052283	3.297687005	3.096934154	3.027230941	1.909542505	2.936512914
ENSG00000147676.12	4.699024761	4.847096237	0.039220713	4.894176381	0.598836501	3.905803706	NA	NA	0.518793793	3.637849283	0.357674444
ENSG00000119986.6	3.95162826	4.90312432	2.393339456	4.809742352	2.446685437	4.64265863	1.071583616	1.913977102	2.200552367	4.360675309	1.022450928
ENSG00000123080.9	2.315501318	2.09679018	3.523415014	2.157559321	3.913621727	2.00148	3.100092289	3.980242244	3.663561646	2.273156282	3.842887267
ENSG00000107738.18	3.882182163	4.373868447	0.431782416	2.883123329	1.264126727	4.167285187	1.5518088	0.364643114	0.451075619	3.58407434	1.340250423
ENSG00000140937.12	0	0.029558802	3.858622229	0	4.304335327	0.746687947	2.650421088	5.014494504	5.194122838	1.181727195	4.756516938
ENSG00000100003.16	4.526451601	4.994234873	1.994700313	4.402196841	3.211246798	5.309405664	2.973997781	2.814809738	3.17722015	4.899927172	3.08282698
ENSG00000110400.9	4.527208645	4.37964881	1.962907725	4.397653891	2.642622396	3.612538221	2.033397603	2.018895042	2.975019232	4.551136297	2.548663616
ENSG00000091622.14	2.431857429	2.806990149	0.746687947	2.238579763	1.465567542	2.690564887	0.412109651	0.31481074	0.978326123	2.16676537	0.741937345
ENSG00000182795.12	3.882182163	4.710520702	0.058268908	3.445852022	0.444685821	3.496810546	0.067658648	0	0.165514438	3.896909368	0
ENSG00000089356.15	6.575103734	7.463299934	0.604315967	5.793775513	0.357674444	5.418364504	0.039220713	0.131028262	0.488580015	6.322511379	0.048790164
ENSG00000128604.17	2.642622396	2.637627737	0.21511138	2.675527009	1.495148766	2.063058062	0.683096845	0.536493371	0.231111721	2.858766418	0.165514438
ENSG00000111664.9	0.966983846	0.223143551	2.449279472	0.39877612	1.501852702	0.139761942	1.816452082	2.272125886	1.958685341	0.231111721	1.969905655
ENSG00000223784.1	2.474856314	2.297572551	0	2.620311287	1.211940974	2.408745289	0	0	0.431782416	3.128075461	0.982078472
ENSG00000065357.18	4.704110134	5.168550308	2.746629683	4.74136054	3.086486637	4.763369801	1.913977102	1.613429934	2.371177884	4.872368899	2.632608006
ENSG00000185219.14	1.057790294	0.837247525	1.842135677	1.00795792	1.418277407	0.828551818	1.717395054	1.410986974	1.72455072	0.951657876	1.635105659
ENSG00000235750.8	2.568021556	3.038791763	0.086177696	3.246880021	0.746687947	2.039920784	0.148420005	0	0.231111721	2.756840365	0.444685821
ENSG00000160588.8	1.378766095	1.919859472	0.157003749	1.750937475	0.841567186	1.958685341	0.500775288	0.048790164	0.329303747	1.381281819	0.207014169
ENSG00000069020.17	2.170195905	2.87807423	1.501852702	2.481567749	0.431782416	2.675527009	0.207014169	0.970778917	0.518793793	3.058707073	0.131028262
ENSG00000184292.6	4.732859547	6.183014227	0.207014169	3.956039891	2.584751985	4.167904765	0.300104592	0.019802627	0.058268908	4.933538244	0.048790164
ENSG00000142273.9	3.448398983	3.295095851	0	3.231594597	0.058268908	2.744703519	0.104360015	0	0	3.800867956	0
ENSG00000149573.7	4.05161102	4.160600358	0	3.916811522	0.845868268	2.591516385	0.2390169	0	0	3.745259788	0.048790164
ENSG00000198417.6	3.463859143	3.269188639	0.708035793	2.926917958	1.040276712	4.016022595	1.785070481	0	0	3.079613758	0.039220713
ENSG00000102554.12	4.273884476	4.692264893	1.141033005	4.906459262	2.779440197	4.777525578	1.011600912	1.601405741	2.472327868	4.095510549	1.474763009
ENSG00000186081.10	8.020750305	8.905592165	1.178654996	8.048484723	0.343589704	7.237533734	1.124929597	0.500775288	4.767629114	8.933049457	0.364643114
ENSG00000141738.12	2.192770227	2.766319109	0	2.996731774	1.488399584	2.709382646	0.173953307	0.131028262	0.783901544	2.651832521	0.131028262
ENSG00000185101.11	3.387774361	3.187178738	0.104360015	3.131573496	0.357674444	2.623218266	0.254642218	0	0.667829373	2.217027205	0.451075619
ENSG00000107960.9	3.863672744	3.854817532	2.820783471	3.711130063	2.580974119	3.173459961	2.050270164	2.008214032	2.213753879	3.609836247	2.272125886
ENSG00000231131.5	2.474856314	2.273156282	0	2.206074193	0	1.89009537	0	0	0	1.793424749	0.139761942
ENSG00000149418.9	3.541538866	3.938859659	0.371563556	4.207524427	0.31481074	4.503248196	0.207014169	0.254642218	0.019802627	3.221671912	0.148420005
ENSG00000178038.15	4.861671141	4.916544371	0.746687947	4.191773708	2.565718293	4.004966751	0.494696242	0.019802627	0.797507196	3.283164315	0.431782416
ENSG00000174564.11	3.784189634	4.618579873	1.60743591	4.365643155	0.357674444	3.057297629	1.238374231	0.593326845	0.940007258	4.630350485	0.774727168
ENSG00000223572.8	4.8136467	4.563410252	0.364643114	4.608065989	0	3.301008654	0.620576488	0.364643114	0.086177696	4.915078417	0.262364264
ENSG00000163235.14	3.264231527	2.863343086	0.322083499	3.220474546	2.090628731	4.158726821	0.198850859	0	0.029558802	3.680847282	0.058268908
ENSG00000162390.16	2.946542029	2.273156282	0.385262401	2.691243083	0.385262401	2.1102132	0.636576829	0.392042088	0.598836501	2.48740353	0.378436436
ENSG00000162878.11	0.828551818	0.703097511	2.047692843	0.09531018	1.811562097	0.530628251	2.816605608	1.957273908	2.87525812	0.139761942	1.903598951
ENSG00000131080.13	1.403642999	1.677096561	0.122217633	1.733423892	0.09531018	1.663926098	0	0.2390169	0.086177696	1.196948189	0.076961041
ENSG00000213412.3	3.220474546	4.012230266	0.246860078	3.261935314	1.061256502	3.100542638	1.900613874	0.703097511	0.157003749	4.486161399	1.252762968
ENSG00000101096.18	0.067658648	0.198850859	1.10856262	0	1.451613827	0.246860078	1.381281819	0.797507196	0.989541194	0.207014169	0.989541194
ENSG00000065361.13	1.613429934	2.520112906	0.246860078	2.055404964	1.196948189	2.140066163	0.322083499	0.165514438	0.524728529	1.932969638	0.727548607
ENSG00000188112.7	2.351375257	3.862412505	0.173953307	3.19047635	0	3.261168737	0.667829373	0.029558802	0.570979547	3.960622675	1.660131027
ENSG00000266074.7	1.141033005	0.792992516	3.050220459	1.172482137	2.32825284	1.446918983	3.275256158	2.116255515	3.124565145	0.760805829	2.630448955
ENSG00000216775.2	0.113328685	0.500775288	0.845868268	0.2390169	1.710187816	0.494696242	1.490654376	1.791759469	1.515127233	0.067658648	1.570697084
ENSG00000100949.13	3.84865713	4.525585707	2.844909384	4.430697744	3.552486829	4.432719749	2.555675721	2.596000697	2.851861903	4.197352312	3.140265424
ENSG00000177494.5	3.132446097	2.524127363	0	3.560477739	0.09531018	3.147164977	0	0	0.086177696	3.583518938	0.104360015
ENSG00000126460.9	1.860974538	2.503073954	0.39877612	1.997417706	0.512823626	1.947337701	0.19062036	0.329303747	0.39877612	1.691939134	0.593326845
ENSG00000188321.12	0.712949808	0.862889955	2.043814364	1.033184483	1.786746927	1.088561953	2.366498419	2.029463172	2.121063216	0.438254931	1.521698998
ENSG00000115884.9	5.664452422	6.014961323	3.280159053	5.158480421	4.616406818	5.696455699	3.188828904	3.818810624	3.235929579	6.059613729	4.065430552
ENSG00000137843.10	2.932792474	2.770711962	0	1.865629318	0.058268908	2.292534757	0.21511138	0.378436436	0.364643114	2.422144328	0.463734016
ENSG00000073350.12	3.180550711	3.766997233	1.686398954	3.362456553	2.1102132	3.704998836	0.982078472	0.943905899	1.677096561	3.422632662	0.559615788
ENSG00000050327.13	2.881443127	3.325036021	0.405465108	2.992727765	1.16315081	2.251291799	1.420695788	0	0.039220713	3.857144344	0.500775288
ENSG00000124549.13	0.553885113	0.364643114	1.72455072	0.779324877	1.521698998	0.810930216	1.786746927	1.332366019	1.403642999	0.506817602	1.141033005
ENSG00000104892.15	2.743417345	3.505857652	0.231111721	2.713369363	0.19062036	2.211565695	0.476234179	0.300104592	0.231111721	3.547891761	1.141033005
ENSG00000185697.15	1.403642999	0.451075619	3.727138166	1.383791231	2.640484882	0.832909123	3.103689415	3.542696944	2.506341931	1.58514522	3.058237479
ENSG00000152223.11	1.568615918	1.335001067	2.282382386	1.806648082	2.079441542	1.764730797	2.365559892	2.499795262	2.568788134	1.617406082	2.516082267
ENSG00000168672.3	2.441477092	3.137231836	1.386294361	2.174751721	1.32972401	3.04927304	0.19062036	1.08180517	0.815364813	2.498151877	0.604315967
ENSG00000085552.15	2.35991016	3.068517943	0.048790164	2.014903021	0.364643114	2.111424588	0.182321557	0.482426149	0.067658648	2.365559892	0.277631737
ENSG00000140950.14	4.019441402	3.632838063	2.714694744	3.421000009	3.145013976	3.786913194	2.48740353	2.444084655	2.681021529	3.637322967	2.921008727
ENSG00000125731.11	3.976499025	3.28578653	0.364643114	4.273187855	2.553343811	3.709172157	1.124929597	0.277631737	0.862889955	4.181897459	0.512823626
ENSG00000110328.5	2.890927159	2.677590994	1.53686722	3.112181086	2.104134154	2.48240352	1.181727195	0.896088025	1.564440547	3.297687005	1.378766095
ENSG00000109321.9	6.088296296	3.816832818	0.392042088	6.240295338	1.717395054	6.60349657	0.463734016	0.048790164	0	5.004214726	0.198850859
ENSG00000149043.15	5.713963802	5.615133394	1.040276712	5.191010514	0.615185639	3.343568269	0	0.039220713	0	4.861129366	0.058268908
ENSG00000124466.8	4.17253941	5.441421544	1.383791231	3.516013056	0.470003629	5.492937979	0.31481074	1.153731588	2.816007343	5.425082167	0.570979547
ENSG00000264230.6	5.599828377	6.175929638	0	4.754451889	0.482426149	3.992311837	0.357674444	0.246860078	0.285178942	5.304696974	0.667829373
ENSG00000135452.8	3.072230245	3.220474546	2.403334996	3.120601256	1.85159947	3.204371139	2.352327185	2.164471791	2.17588744	2.665838352	1.969905655
ENSG00000175591.10	3.010620886	3.242592351	0.076961041	1.86252854	1.70837786	2.736961545	0.476234179	0	0.029558802	2.721953106	0.019802627
ENSG00000114993.14	3.895283681	4.38651654	2.662355242	4.088661779	2.304583096	3.680343123	3.084200922	1.987874348	1.633154439	4.053522568	2.284421122
ENSG00000189221.8	3.404525172	4.712588583	1.166270937	3.946810831	1.278152203	2.679650727	0.019802627	0.254642218	0.086177696	3.18345588	0.076961041
ENSG00000163810.10	0.862889955	0.854415328	0	1.16938136	0.048790164	0.993251773	0.122217633	0.058268908	0.019802627	0.774727168	0.048790164
ENSG00000204959.4	2.109000344	2.32532458	0.104360015	2.626116818	0.819779831	2.13771045	1.506297154	0	0.067658648	3.196221134	0.246860078
ENSG00000136002.15	2.766319109	3.83535792	0.431782416	3.598133841	0.678033543	3.428812549	2.267993648	0.058268908	0.524728529	3.244543572	0.148420005
ENSG00000280128.1	0.425267735	0.609765572	1.286474026	0.688134639	1.255616037	0.31481074	0.871293366	1.150572028	1.40854497	0.463734016	1.534714366
ENSG00000170873.17	3.323596136	3.572626497	1.5518088	2.855895328	0.418710335	3.019936962	1.08180517	0.438254931	1.811562097	2.978586115	1.568615918
ENSG00000184574.8	1.728109442	1.368639426	0.029558802	1.420695788	0.78845736	2.233235015	0.039220713	0	0.104360015	2.163323026	0.165514438
ENSG00000104413.14	3.892228378	4.018003329	0.350656872	3.173459961	0.31481074	2.615203651	0.223143551	0.173953307	0.139761942	3.593469269	0.019802627
ENSG00000279806.1	3.875981234	3.949704072	0	4.100326634	0.048790164	2.748552144	0	0.029558802	0.076961041	4.309590341	0.067658648
ENSG00000173517.9	1.199964783	0.904218151	2.811208293	1.401182974	2.270061901	1.501852702	2.72392355	2.372111156	2.988204007	0.548121409	2.607124283
ENSG00000101311.14	3.776432351	3.857777991	0.985816795	3.791436042	2.58021683	4.92906364	2.228938553	1.068153081	0.425267735	3.836868332	1.442201993
ENSG00000096696.12	3.484312288	5.466582256	0.067658648	4.446994751	2.136530509	3.400196881	1.403642999	0.009950331	0.165514438	4.968562518	1.458615023
ENSG00000089127.11	2.336019869	2.563409711	0.198850859	1.763017	1.255616037	2.885359216	0.231111721	0.104360015	0.2390169	1.729884066	0.076961041
ENSG00000124107.5	5.43048533	7.563922035	0.231111721	6.401801104	0.173953307	6.901968568	3.790307247	1.86252854	2.933324813	7.071471491	0
ENSG00000184838.13	1.061256502	1.101940079	3.236322738	0.88376754	2.976549454	1.60743591	2.672077541	4.092509546	2.329227024	1.004301609	3.323596136
ENSG00000105855.8	1.983756292	2.302585093	0.371563556	2.246014742	0.058268908	2.318458442	0.322083499	0.048790164	0.636576829	1.32972401	0.570979547
ENSG00000147689.15	4.291281021	4.55103074	0.067658648	4.033532423	0.647103242	6.120978506	0.019802627	0.21511138	0.343589704	5.442417711	0.104360015
ENSG00000156453.12	3.609294975	3.814851094	2.585505848	2.664446564	0.512823626	4.001680877	0.371563556	0.576613364	0.741937345	3.732657076	0.385262401
ENSG00000090776.5	4.192680463	3.819907717	1.773255998	4.027848571	1.435084525	4.005695481	1.401182974	2.753660712	1.064710737	3.911422825	2.093097868
ENSG00000169403.10	2.579458967	1.796747011	0.553885113	2.374905755	0.165514438	3.015534901	0.198850859	0.048790164	0.451075619	2.143589362	0.262364264
ENSG00000086544.2	2.667228207	3.717223927	2.432735777	3.433664572	1.327075001	3.3891248	1.85159947	2.033397603	1.609437912	3.257711849	1.788420568
ENSG00000172830.11	4.148990563	4.344194956	2.818398258	4.189503215	2.311544834	3.363495514	1.754403683	2.481567749	2.605648267	3.563032744	1.781709133
ENSG00000074410.12	3.704260556	4.615417502	2.712706013	4.325985244	1.54329811	3.304319307	1.413423029	1.291983682	2.199444334	3.713572067	2.259677592
ENSG00000035115.20	3.377246161	3.674526948	2.284421122	3.534270336	0.90016135	2.751109691	1.74745921	2.201659174	1.680827909	3.727378753	1.156881197
ENSG00000091129.18	2.48740353	1.570697084	0	1.597365331	0.21511138	1.631199404	0.039220713	0	0.457424847	1.91102289	0.165514438
ENSG00000184254.15	5.071981224	4.807049242	0.506817602	2.975019232	1.150572028	4.542549824	0.636576829	0.131028262	1.931521412	4.063885355	2.427454075
ENSG00000110042.6	2.839663088	3.235142797	1.208960346	2.232162629	0	2.238579763	0.067658648	0.559615788	0.350656872	1.796747011	0.067658648
ENSG00000181284.2	2.62756295	2.901421594	1.286474026	2.606386547	0.39877612	2.661657162	0.378436436	1.854734268	1.111857515	3.223664342	1.137833002
ENSG00000079819.15	2.431857429	2.064327904	3.243373296	2.20386912	3.659193144	2.658859957	4.005513349	2.990719732	4.093177214	2.115049969	3.781686504
ENSG00000148426.11	3.92907676	3.138966442	1.261297871	3.176803048	2.237513096	3.307985	0.727548607	1.211940974	0.231111721	3.395514599	1.595338988
ENSG00000132821.10	5.288317534	3.974434266	0.371563556	3.904393978	1.865629318	4.762857462	0.438254931	0.815364813	0.506817602	2.986186861	0.819779831
ENSG00000165929.11	1.435084525	1.621366483	0	1.776645831	0.91228271	1.418277407	0.067658648	0	0.512823626	1.011600912	0.039220713
ENSG00000166908.16	3.729301369	3.646493738	2.57261223	3.393837027	3.024805521	4.060443011	3.101892469	2.812410216	2.839078464	3.723522398	2.725890119
ENSG00000182704.7	3.378610883	3.268808194	2.060513532	3.522529667	2.423031246	4.049172844	2.549445171	2.99723115	2.158714723	3.61199841	2.371177884
ENSG00000270149.4	3.134624272	3.668676747	0	3.448716898	1.846878768	3.189652966	1.026041596	1.778336449	0	4.179145164	0
ENSG00000243896.3	0.879626748	1.184789985	0	1.202972304	0.076961041	1.729884066	0.536493371	0	0.131028262	1.261297871	0
ENSG00000267169.1	0.431782416	0.139761942	1.504077397	0.425267735	1.01884732	0.322083499	0.871293366	0.916290732	1.294727168	0.19062036	0.891998039
ENSG00000216895.7	1.373715579	1.011600912	2.71866038	1.32175584	1.848454813	1.131402111	2.238579763	2.802754137	2.859339649	1.235471471	2.342766883
ENSG00000144711.12	2.142416341	1.808288771	2.67896462	2.113842968	2.471483629	1.919859472	2.811809435	2.652537491	2.282382386	1.752672081	2.718000532
ENSG00000137752.21	3.279406325	2.521720623	0	3.213260086	1.16315081	2.469793012	1.311031877	0.058268908	0.476234179	1.922787732	0.858661619
ENSG00000099337.4	2.3896798	2.054123734	0.029558802	1.342864803	0.292669614	2.320425011	0.371563556	0.524728529	0.457424847	2.315501318	1.358409158
ENSG00000163347.5	3.149311361	3.295466427	0.378436436	4.192076051	1.706564623	3.514823642	0.620576488	2.237513096	0.277631737	3.443618098	0.113328685
ENSG00000144741.16	2.764430535	2.958030406	2.306577114	2.961658293	2.694627181	2.827905163	2.468099531	2.446685437	2.463853241	2.959068289	2.587011873
ENSG00000236269.1	0.104360015	0.246860078	1.105256831	0.512823626	0.982078472	0	0.858661619	0.672944473	1.297463147	0	0.802001585
ENSG00000158825.5	4.938279632	3.704998836	0.536493371	2.428336298	1.684545385	4.126811752	0	0	0	4.578723536	0.524728529
ENSG00000120899.16	3.012589391	3.516904189	1.915450942	4.201253878	0.364643114	4.066802059	1.128171091	0.891998039	1.45395301	2.634762405	1.057790294
ENSG00000250510.6	0	0	2.03077637	0	1.388791241	0	1.719188776	2.059238834	0.858661619	0.343589704	1.272565596
ENSG00000142530.9	0.951657876	0.959350221	0.672944473	0.802001585	0	1.223775432	0.207014169	0.336472237	0.231111721	0.928219303	0
ENSG00000029534.18	0.292669614	0.139761942	2.372111156	0.576613364	1.178654996	0.425267735	1.488399584	2.315501318	1.684545385	0.797507196	1.814824742
ENSG00000170561.11	3.457577715	3.738859386	0.039220713	3.479392229	0	2.270061901	1.745715531	0.019802627	1.818076778	3.347796605	0.067658648
ENSG00000134757.4	3.285038027	5.489020367	0.058268908	3.599228232	0.019802627	3.555633735	0.932164081	0.067658648	0.19062036	3.801314883	0.148420005
ENSG00000173267.12	4.889747443	4.971547905	0	4.17699924	3.17930305	3.769306703	0.076961041	0.09531018	0.223143551	4.145512849	0.620576488
ENSG00000101670.10	4.170996914	2.289499853	0.058268908	3.186352633	1.722766598	3.025291076	1.305626458	0.254642218	0.3074847	3.196630216	1.181727195
ENSG00000261183.4	2.689207113	3.611188146	0.329303747	2.259677592	0	3.25347047	0.431782416	0	0.254642218	2.285438934	0
ENSG00000274383.1	0.277631737	0.322083499	1.684545385	0.392042088	1.713797928	0.530628251	1.722766598	1.805004696	0.989541194	0.841567186	1.115141591
ENSG00000109906.12	2.218115936	2.536074936	0	3.07176696	0	2.451866796	0.009950331	0.019802627	0.19062036	1.773255998	0.048790164
ENSG00000197375.11	2.954910279	3.410157123	1.996059933	3.130263167	2.528125769	3.323956301	1.378766095	2.237513096	1.583093937	2.989714201	1.903598951
ENSG00000119888.9	1.86872051	2.772588722	0.548121409	2.309560707	1.446918983	3.32251486	1.115141591	0	0.048790164	2.383242996	0.270027137
ENSG00000166441.11	7.332362666	7.679417848	6.773068934	7.84261258	7.251649901	7.618423073	6.362476227	6.678631381	6.730779409	7.633519687	6.900801155
ENSG00000164292.11	1.305626458	0.940007258	3.372454913	2.017566138	3.919991175	1.534714366	3.633895146	3.121483479	3.090587805	2.178155015	3.128075461
ENSG00000179913.9	3.708436953	1.821318271	0	2.787477335	1.124929597	3.523119986	0	0.076961041	0.058268908	2.821378886	0.19062036
ENSG00000091409.13	4.513493397	4.582003908	2.532902848	4.99131655	2.847232265	4.657193214	1.713797928	3.025776395	3.542696944	4.852420813	2.028148247
ENSG00000040275.15	3.331132507	2.276241118	4.470724089	2.834389123	4.318554212	2.973997781	4.569232079	3.968970286	3.888344878	2.988707659	3.915217896
ENSG00000182541.16	4.299188356	4.928918964	1.371180723	4.216857137	2.912350665	3.453789832	2.43798973	2.047692843	2.323367632	4.342115683	2.991724252
ENSG00000115194.9	0.19062036	0	0.58221562	0	0.292669614	0	0.322083499	0.553885113	0.463734016	0	0.698134722
ENSG00000170390.13	0.029558802	0.207014169	2.736313666	0.2390169	1.311031877	0.329303747	1.501852702	2.000127735	2.130609828	0	1.483874689
ENSG00000168528.10	6.583049545	5.567007733	1.572773928	5.601823574	2.898119445	5.311875044	0.425267735	0.254642218	0.565313809	5.011901159	3.558770769
ENSG00000100154.13	1.00063188	0.262364264	1.444563269	0	1.735189118	0.039220713	1.340250423	1.486139696	1.788420568	0.048790164	2.309560707
ENSG00000164855.14	2.90690106	3.90941962	1.095273387	2.262804223	1.388791241	2.558002205	0.667829373	0	0.113328685	2.373975089	0.139761942
ENSG00000253368.3	3.35585128	4.076689627	0.058268908	3.305053521	1.022450928	2.780680892	1.272565596	1.512927012	0.285178942	2.965273066	2.186051277
