id	Luminal	Basal	Basal A	Basal	Basal B	Basal B	Basal B	Basal B	Basal A	Basal B	Basal B	Basal B	Basal B	Basal A	Basal B	Basal A	Basal A	Basal B	Basal	Basal	Basal B	Basal B	Basal	Basal B	Basal A	Basal	Basal	Basal A	Basal	Luminal	Basal A
EEF2	10.7621	10.6687	10.8032	10.4005	10.9639	10.6668	10.3647	10.0742	10.4646	10.4938	10.7497	10.7261	10.7062	9.92646	10.2384	10.5651	9.64221	10.5547	10.7738	10.6264	11.4268	10.633	10.848	9.96102	10.3004	10.4511	9.62265	10.6167	10.5251	10.6506	10.561
PABPC1	10.4878	11.0838	10.4789	10.4732	10.7507	10.5623	10.4026	9.60998	10.5705	10.7124	9.90836	10.2051	11.0598	10.6699	10.2714	10.5262	10.8318	10.776	10.85	10.5621	11.4249	10.9115	11.1594	10.2256	10.6657	10.4305	10.6669	11.145	9.95081	10.1117	10.8909
MT-ND4L	10.7922	10.7975	10.4189	10.1768	10.1635	10.4841	10.3081	9.80977	10.2969	10.1618	9.67207	10.6778	10.1462	9.80225	10.7763	9.99197	10.4994	9.66482	10.5224	10.1516	10.6165	10.4632	10.7705	10.2267	10.2378	10.2251	9.69036	10.2182	10.45	10.6524	10.6436
FN1	5.06747	8.22815	8.85771	12.4335	9.70432	9.4792	9.84451	9.45204	8.4816	10.4189	10.5459	11.6263	9.42209	6.60622	11.0296	6.9571	7.71885	12.7258	6.67916	6.67085	6.18721	8.90626	8.19639	11.3941	7.45918	12.4585	5.82117	11.2547	4.50113	6.9054	8.27754
PKM	9.46043	10.7428	10.7649	10.579	10.5478	11.017	11.1787	9.82724	11.4046	10.6024	10.2861	10.9822	10.618	10.3322	10.5569	10.3146	10.5087	10.6958	10.2554	10.0574	11.7857	10.7325	10.8825	10.9709	10.0782	10.6484	9.79557	11.1092	10.2917	9.4883	9.24768
FLNA	11.4927	9.67207	10.4941	10.2171	10.8981	11.2633	11.3715	11.6128	10.6726	11.0301	10.1475	10.9985	11.2483	9.21058	10.5575	10.2451	10.6309	11.4469	10.0275	9.93477	10.6099	10.9907	9.84451	11.1071	11.1813	10.3302	10.0064	11.4646	10.5825	9.2546	10.2107
ENO1	10.0903	10.3918	10.2093	10.7419	10.8635	11.0428	11.3273	10.0483	11.458	10.5703	10.5063	10.7081	11.3079	9.96102	11.3305	11.1192	11.0191	11.1206	10.74	10.5452	11.0896	10.6973	10.5497	10.1169	10.2695	10.8224	9.67784	10.9706	10.094	8.59026	10.1587
IGFBP5	9.48367	9.0872	11.3163	7.01366	7.31481	3.58809	1.70432	5.85334	1.93918	2.80091	3.97599	9.27022	1.82444	6.8206	3.3261	0.317536	7.13049	7.35526	5.97102	5.94076	6.43559	6.18457	9.13943	2.49989	7.37539	7.00502	9.80977	0.366348	11.2436	7.01902	8.84923
ERBB2	10.0865	7.78791	8.25487	8.44239	6.9315	6.86556	7.52657	6.52703	7.34868	8.1177	7.09289	6.75751	6.95544	7.56004	7.25085	7.27901	7.7617	7.25805	7.17911	7.31129	6.95109	7.88643	7.87326	8.33426	7.18128	8.55737	7.75399	7.74125	12.1817	8.39946	8.59387
TPT1	10.887	10.0744	9.88806	10.3123	9.83451	11.0301	9.538	9.90836	9.55907	10.0512	10.3547	10.6573	10.1221	10.0724	9.59774	9.93477	9.5862	9.19684	10.0464	9.83451	11.0081	9.67207	10.1949	9.61551	9.90836	10.2635	10.3436	10.2091	10.4583	10.376	10.8005
RPL4	10.7344	10.05	10.1082	9.67207	10.0641	10.5186	9.76705	10.3812	10.5116	10.4351	10.4737	10.954	9.92646	9.86158	10.264	9.67207	9.4792	9.59774	10.3189	10.0397	11.6463	9.69036	10.1367	9.45652	9.83451	9.67784	9.41435	10.757	9.96102	9.96102	10.1638
HNRNPA2B1	10.4035	9.5862	10.1939	10.2315	10.1579	10.1132	10.3047	10.1547	10.2705	10.7169	9.95081	10.2288	10.4196	10.192	10.5689	10.3658	10.5213	9.88806	10.5313	10.285	9.72471	10.1075	9.71873	10.1772	10.5155	10.1247	0	10.4902	10.3642	9.92646	10.4733
CANX	10.2536	10.1342	9.87999	11.0509	10.5538	9.78828	10.4824	10.4658	10.5893	10.1785	9.81891	10.3321	10.5541	10.2934	10.9869	10.3716	9.538	10.2312	10.3709	10.1265	10.5624	10.3226	10.2503	9.76705	10.4355	10.9839	10.816	10.2787	10.5946	10.0106	9.60998
YWHAZ	10.0484	9.99197	10.0056	10.3509	9.81891	9.84451	10.6526	7.56529	10.6975	10.0205	9.41051	9.46519	10.4954	10.3502	10.2916	10.339	10.6253	10.2594	10.4543	10.1748	10.5441	10.2739	10.0876	10.3507	10.1183	10.2555	10.5163	10.6141	10.146	9.71873	9.90836
RPLP0	10.1551	9.84451	9.64221	10.0504	10.0454	10.3864	10.523	10.0611	10.3987	10.4159	10.2326	10.4252	9.62265	9.75385	10.2996	10.4762	9.93477	9.58033	10.3759	10.1148	10.4108	10.3215	9.99197	10.0336	9.69036	10.0677	10.139	10.2925	10.084	10.1677	10.3056
RPS2	10.5813	10.1855	9.73886	9.93477	10.3088	10.2152	10.0048	9.91797	10.4401	10.5905	10.2182	11.2013	10.0972	9.55907	9.93477	10.6357	10.2343	9.69036	10.22	9.98067	10.8052	10.3224	10.2648	9.36525	9.67207	10.0056	9.19684	10.0788	10.1449	9.53257	9.89942
RPL19	9.37352	9.60417	9.30438	9.86158	9.73239	9.92646	9.92646	9.22226	9.24508	9.87999	9.86995	9.98067	9.42593	9.62938	9.68438	9.43014	8.80734	9.3108	9.90836	9.76011	9.78828	9.77451	9.67784	9.28765	9.19394	9.80977	8.68403	10.0565	8.992	9.03215	9.54362
RPL8	10.0108	10.4561	9.81891	9.89942	9.60998	10.3575	10.0452	10.3895	10.6927	9.82724	9.83451	10.8405	10.6314	10.8026	10.4456	10.4718	9.85227	9.99197	11.0015	10.7819	9.88806	9.21058	10.5663	9.68438	9.3611	9.93477	9.29755	9.57539	9.59774	9.84451	10.4894
NPM1	9.79557	9.86158	9.59774	11.2084	10.7313	10.2924	10.4167	10.6449	10.8488	10.575	10.4939	10.4869	10.5957	10.1504	10.4587	10.1537	9.3864	9.92646	10.3363	10.0058	10.7082	10.1756	9.96102	9.4883	10.2913	11.0636	9.66482	10.476	10.2162	9.67207	9.77451
PPIA	10.0678	9.56417	10.2519	9.88806	9.76705	10.0084	10.2785	9.98067	10.8386	10.1384	9.86158	10.105	10.2607	9.73239	10.3765	10.0282	10.702	9.85227	10.478	10.1452	9.80225	9.44726	9.64732	9.78828	10.335	9.86158	9.50765	10.3693	9.99197	9.51735	10.3903
EIF4G2	9.3611	10.084	10.4997	10.2002	10.6264	9.76705	10.2192	9.42593	10.4443	10.5369	9.85227	10.0315	9.63593	9.78828	9.81891	9.77451	9.69036	9.97141	10.0566	9.85227	9.97141	10.0598	10.1752	9.94336	9.92646	10.1474	9.7463	9.86158	10.065	10.3036	10.382
FASN	10.6193	9.39396	9.29048	9.37352	9.44353	9.98067	8.55612	8.52265	8.95902	9.31789	9.15495	8.78428	8.76903	7.97388	8.74411	9.47499	9.02544	9.07124	9.33949	9.44726	8.82758	9.40207	9.51735	8.91765	9.36525	9.47036	9.27022	9.78828	9.86158	10.6334	9.86995
HSP90B1	10.4524	9.76705	9.75385	10.0951	9.97141	9.77451	10.05	9.79557	9.95081	10.8001	9.6973	9.89942	10.1052	9.65264	10.3893	11.2665	9.38236	10.0301	11.1279	10.8254	10.544	10.5889	9.80977	10.3253	9.79557	9.94336	10.7938	10.325	10.0051	9.80977	9.61551
GNAS	10.6062	10.1865	10.0394	9.54809	10.0858	9.96102	9.93477	9.3611	9.90836	10.0948	9.16601	10.4361	9.83451	9.84451	10.5847	9.63593	10.0035	9.34264	9.3611	9.34661	9.29354	10.0376	10.3115	9.64732	9.29354	9.56977	9.90836	9.84451	9.26124	9.65863	9.93477
KRT18	9.35063	8.71782	10.7689	8.92556	8.14212	9.1445	9.15495	8.83986	9.92646	9.35459	8.34109	6.59296	4.07183	9.97141	8.59621	9.86158	8.9273	8.8739	8.22815	8.21664	3.35971	8.79077	8.77511	10.3659	9.80225	8.95902	7.76119	9.25798	9.86995	10.1233	8.50836
RPL3	10.4193	9.96102	9.35459	9.49797	9.99197	10.4119	9.96102	9.80225	10.1774	10.4949	10.2378	10.3429	10.0471	9.59168	10.3373	9.69036	9.44726	9.81891	10.3763	10.1422	10.4041	9.52229	10.0912	9.42209	10.0431	9.50326	9.44353	10.2636	10.1023	10.257	10.2526
RPS24	9.60417	9.71873	9.19684	9.71873	10.3737	9.93477	9.6973	9.72471	9.43014	9.52229	9.96102	9.85227	9.98067	9.16082	9.53257	9.86995	8.61748	8.82571	9.97141	9.73239	10.221	9.51735	9.73886	9.27395	9.50326	9.52724	9.30741	10.0884	9.91797	10.3273	10.7847
ANXA2	9.89942	10.0254	10.4516	10.0598	10.4746	9.52724	10.6482	10.6194	11.1258	9.89942	10.1753	10.4818	9.68438	10.0739	10.2566	9.88806	10.5898	10.2773	10.2932	10.0025	10.5038	10.3357	10.1268	10.6124	10.2426	10.0393	10.0945	11.0953	9.87999	8.87208	9.87999
KRT19	9.45204	9.93477	10.2467	10.6763	8.70781	9.1346	8.64032	1.01147	9.24768	7.77214	2.90805	2.74733	4.26066	5.48394	1.58692	9.78828	10.4622	0.805311	9.0872	9.1217	3.66357	9.36915	10.1198	10.2293	10.2057	10.6854	9.68438	10.0106	10.2143	10.1724	8.12766
SCD	10.2101	9.43506	7.36436	10.2598	9.04446	10.0231	8.52908	8.73084	7.99522	9.47036	9.57539	9.43014	10.6268	8.65917	6.94606	9.78159	9.21923	9.30145	8.53224	8.49876	7.8038	8.92916	9.54362	8.97937	9.3108	10.246	10.2445	10.0012	9.83451	10.054	10.317
