id	Luminal	Basal	Basal A	Basal	Basal B	Basal B	Basal B	Basal B	Basal A	Basal B	Basal B	Basal B	Basal B	Basal A	Basal B	Basal A	Basal A	Basal B	Basal	Basal	Basal B	Basal B	Basal	Basal B	Basal A	Basal	Basal	Basal A	Basal	Luminal	Basal A
FBLN1	6.24379	4.17135	8.82758	3.32166	5.05176	2.92248	4.04757	7.46735	8.53224	8.46381	8.55737	6.42526	6.60027	7.31284	7.45711	6.79425	7.93708	8.63167	5.77938	5.8521	6.04176	6.81348	4.36979	7.88643	8.70037	3.69473	5.90009	8.07295	6.55142	6.90126	8.57541
GM2A	7.29699	5.95613	6.85753	8.28325	6.64074	6.36683	6.73341	7.5051	7.22837	6.56252	6.08281	7.20272	7.02102	7.22428	7.2683	7.45886	6.86125	7.09518	5.06252	5.2106	7.0448	6.45201	6.01575	7.50654	8.2107	8.28885	6.2359	6.64686	7.04326	7.22368	6.687
RNF145	5.64756	7.98473	7.50358	7.89008	7.35836	8.37675	7.60204	7.77973	8.19265	7.96039	6.75458	7.97509	7.59044	7.63911	8.00286	6.73831	7.81259	8.48275	7.25609	7.25178	8.78759	7.70162	8.01757	7.42184	7.56967	7.88184	6.29957	7.70614	6.88686	7.22495	7.08994
TMEM43	6.9315	7.30222	7.2293	7.86146	7.76646	7.56891	7.95541	8.14829	7.85722	7.55857	8.15662	8.11369	8.3649	7.72839	8.27377	7.60049	7.23441	8.56204	8.52032	8.51076	7.95041	7.47482	7.30583	7.39743	7.08793	7.86018	7.16291	7.99709	7.76823	7.23766	7.62364
LGR4	5.54517	8.54941	6.89868	7.43157	7.79369	7.52495	7.49384	6.48362	6.56024	8.71225	6.15146	6.90022	6.9146	6.25519	7.01688	8.07937	6.52069	6.62181	9.24508	9.20251	6.63725	5.06252	8.56087	6.29671	7.70248	7.33428	5.71852	6.53204	7.61268	7.22771	8.4816
MYO9B	7.48941	7.03476	8.25953	7.62236	7.7767	7.41023	7.87174	7.69786	7.86716	8.0068	7.29068	7.31639	7.9171	7.38367	8.15381	7.58686	7.77484	8.16172	7.73653	7.82224	7.88963	7.14843	6.95849	7.60392	8.12639	7.67905	8.95356	7.16433	7.10259	7.04197	8.111
CTBP1	7.61889	7.95041	8.04058	7.27835	8.2209	7.9964	7.88095	7.7205	7.43192	7.84892	7.60995	6.76229	7.92397	6.49409	7.53094	6.90184	7.35319	7.25178	7.6396	7.78791	7.52875	6.97358	7.99755	7.53679	7.49384	7.3809	7.32063	7.45711	7.67694	8.83224	7.7972
CCNG1	7.46254	7.13724	6.71947	7.99462	8.26166	7.35807	6.96157	7.36883	6.8115	8.14335	8.1383	7.82955	8.03216	7.82676	8.58385	6.98663	6.73296	7.82612	7.52177	7.48941	6.34617	6.53967	7.10668	7.21755	8.2698	7.92397	6.90184	7.00277	6.82171	7.86916	7.55738
APRT	7.72503	8.04473	8.0831	7.55964	7.51953	8.54437	7.09548	7.7767	7.12644	7.88544	7.68442	7.70379	7.10519	7.75237	6.73504	7.32995	7.78791	7.19388	7.90275	7.93381	7.3526	8.26166	8.05905	7.36702	7.68244	7.65567	7.2196	8.26015	7.42249	6.68824	6.69142
PATL1	7.20798	7.03992	7.44723	7.66573	7.76741	8.06421	7.98106	7.95252	8.05553	7.48538	7.74316	8.15108	7.76696	8.15257	7.21877	7.51893	7.68369	7.49173	7.51927	7.48741	7.4282	7.70896	7.0282	7.33307	8.01584	7.64652	7.85332	7.39604	6.65298	7.28244	8.45829
ABL1	7.52177	6.97066	7.8785	7.55817	6.6465	7.26734	8.13766	7.91179	7.18696	7.74971	8.31787	7.90949	8.44153	7.26544	7.96155	7.25452	7.31103	8.01033	7.26765	7.28786	8.5702	7.38821	6.97852	7.21877	7.56711	7.58726	7.11923	7.53679	7.80047	7.58615	8.13522
GIGYF2	7.62032	7.4614	7.4649	7.58615	7.53279	7.32509	7.00969	7.85621	7.06398	7.68595	7.39433	7.58094	7.21096	6.96846	7.7263	7.37776	7.21354	7.02895	7.56564	7.61741	7.39185	7.71536	7.48941	7.07973	7.34564	7.58974	7.28549	7.9559	8.12898	7.38021	7.41252
BLCAP	7.68514	7.37885	7.74002	6.79583	7.84984	7.10772	7.48273	6.56795	7.38732	6.85211	7.54777	7.48506	6.85902	7.88095	7.08824	8.21809	7.40343	7.0053	6.97066	6.92877	6.73422	7.27676	7.37776	6.99272	7.21608	6.87066	7.19332	8.29152	6.43903	7.52387	6.82879
NCOA6	7.32637	7.5951	8.03517	7.47029	7.61197	7.545	7.58726	7.17327	7.56488	7.46557	7.30997	7.39218	7.41676	7.40343	7.25552	7.63524	7.25085	7.28462	7.10344	7.08153	7.40276	7.75319	7.61702	7.10124	7.32486	7.47172	7.62731	7.52827	7.35604	7.84381	7.56004
EIF2B5	8.4153	8.54437	7.41493	7.25452	7.17136	7.57876	7.49845	6.75295	7.43332	7.15647	7.34935	7.17198	6.58423	7.5806	6.75577	7.62201	7.62364	7.36502	7.60548	7.63572	6.99615	7.58414	8.52372	7.30516	6.7994	7.25879	7.24961	7.66286	7.93329	8.111	7.21668
MSH2	7.59234	6.5809	7.47769	7.91008	7.8023	8.01816	7.76071	7.97164	8.02183	8.23729	6.60446	7.81321	7.72228	7.84764	7.4817	7.87326	7.69298	7.38924	7.71022	7.654	7.75319	7.87479	6.64074	7.83102	8.25562	7.8318	7.19719	7.77087	7.17695	7.07029	7.73259
EDEM3	7.50471	7.0227	7.14726	7.4501	6.37043	6.69459	7.25149	7.82278	6.80833	7.23954	7.22118	7.56602	7.41315	6.74636	7.3809	7.08054	7.79584	7.19118	7.43095	7.3823	7.07188	7.09707	6.95305	7.03507	7.66997	7.39218	7.81714	7.55023	7.85821	7.86345	7.35347
ALDH9A1	8.03517	7.31856	7.29664	7.79545	6.75668	6.82237	7.61472	8.01033	6.82501	7.11061	7.28549	6.99726	6.94272	7.61852	6.86676	7.17984	6.88778	7.29383	6.90448	6.8822	7.83342	7.27941	7.30713	6.83289	7.74437	7.76596	8.33603	7.1924	7.91439	6.85877	7.7297
BOP1	7.48138	8.13945	7.23734	7.15413	7.42015	7.95991	7.81572	8.14087	8.111	7.7205	8.00505	8.26895	8.45383	8.01192	7.6489	8.54184	7.23521	8.24876	8.69754	8.77328	7.34044	7.41644	8.19404	7.17795	6.25156	7.29727	6.29414	7.25552	7.46847	6.56164	7.25709
MFN1	7.58861	8.24568	7.53912	8.0266	7.60995	7.35673	7.07614	6.85902	7.3863	7.35864	7.23077	7.41608	7.12803	7.78126	7.15875	7.80422	7.62163	7.74481	7.32827	7.32363	6.82256	7.57796	8.25257	8.03817	6.83887	7.87651	7.84592	7.36502	7.63433	7.2293	7.45817
IRF6	7.24871	7.67157	6.70713	6.82583	4.16725	6.88669	2.86046	0	8.06896	2.53657	3.57269	2.97392	0.553446	7.7637	1.62629	8.37962	7.9757	2.76824	6.43145	6.54865	3.5066	7.0442	7.60286	7.6766	6.67606	6.90356	6.75526	8.2817	7.83878	7.04115	6.05069
DKK1	3.14082	5.64862	3.96737	1.17595	9.78159	8.242	9.08233	7.37852	1.12277	3.44806	5.60391	6.46321	7.4618	7.93935	7.07358	8.87533	4.8691	7.3004	0.956731	2.2761	4.74827	9.41051	5.51502	8.49961	6.32531	0.927696	2.17566	8.89972	6.15846	2.54735	2.49989
PRKAR2A	7.50582	6.88969	7.60286	7.80422	8.09942	7.41584	8.04649	7.81166	6.95033	7.74437	7.73903	6.20947	7.52458	7.37497	6.8645	7.11142	7.19901	7.94321	6.79691	6.85049	7.90108	7.3823	6.8229	7.70896	7.34527	7.85477	7.52022	7.13969	7.18696	7.92239	7.27766
GNA11	7.72135	7.51007	7.49422	7.70248	8.13887	7.3195	8.17884	7.13746	7.68882	7.66956	7.23498	7.3526	7.44455	7.14819	7.70291	7.62407	7.19118	8.21594	7.64383	7.78966	7.45491	7.85917	7.62643	7.63789	7.22244	7.81625	7.54406	7.21755	7.55462	7.01628	7.34789
PRDX4	7.37189	8.24632	6.43947	7.99709	7.69129	7.42046	7.57197	7.5635	6.87248	7.80329	7.63872	7.48741	8.51602	7.43898	8.3284	7.10741	7.39782	7.60286	7.93935	7.90223	7.52921	7.29327	8.25181	7.75014	7.72932	7.91066	7.31579	7.06035	7.30836	7.43297	6.85078
RUVBL1	7.34425	7.46769	7.76553	7.8859	7.92397	7.83047	7.31579	7.23147	7.86863	7.66538	8.20233	7.97445	7.93447	7.84546	7.4128	7.94218	7.688	7.89596	8.05669	8.03216	7.86863	8.36699	7.4141	6.77723	7.1596	7.87593	6.9434	8.4617	7.81808	6.94407	7.20649
GGA2	7.61554	8.16532	7.27259	7.53561	6.56648	7.07762	7.25489	7.2358	7.87326	7.91008	5.7954	7.05174	7.61817	7.39953	7.32063	6.77304	7.64558	6.85078	8.01192	8.00559	7.65195	7.82179	8.14628	6.9733	7.20385	7.58498	7.61817	7.77834	7.7144	6.76591	8.04879
ZNFX1	7.25834	7.36569	8.64384	7.10923	7.61433	7.50066	7.6982	7.36957	7.48766	6.62738	7.13518	7.56782	7.45354	7.78307	7.80667	7.48708	7.5712	7.70207	7.12379	7.08876	7.4155	7.33485	7.3327	7.3223	6.68301	7.2024	7.37945	7.97912	6.99941	7.63476	6.77501
SUDS3	7.34297	7.03203	7.32605	7.83381	6.58441	7.05711	6.62323	7.06657	7.46392	7.09669	6.72565	6.85161	6.54744	7.65682	6.87119	7.92669	7.36436	6.75263	8.36313	8.29979	6.79425	7.60465	7.12315	7.74086	6.93524	7.76119	8.42081	6.99763	7.64961	7.58094	7.62526
PKN1	7.4618	6.84647	7.62114	7.94725	7.78168	7.6982	8.59387	8.51602	7.61197	7.33711	7.81375	8.14147	7.29757	8.1676	7.92127	7.52108	6.82455	7.89258	6.86262	6.9769	7.65567	7.88236	6.79583	7.37612	7.43757	8.02242	7.78553	7.05174	7.80612	7.48106	6.76061
RAB22A	7.24279	7.14906	7.66617	7.12258	7.34664	7.38702	7.48374	7.16902	7.10383	6.59502	6.54207	7.3819	7.19332	7.45886	7.88136	7.38604	7.20976	7.12045	6.68551	6.63927	6.57181	6.99124	7.16902	7.17298	6.42238	7.04936	7.53912	7.33329	7.15587	7.56782	6.72017
YLPM1	7.80001	7.16227	7.51199	7.70067	7.41523	7.50716	7.49998	7.04505	7.32755	7.89549	7.46035	7.46735	7.46392	7.54628	7.82822	7.39218	7.43469	7.31827	6.98428	6.99298	7.72761	7.62321	7.13293	7.30997	6.86125	7.65827	7.27645	8.0068	7.34564	7.54666	8.04171
RYK	7.12803	7.79265	7.51853	7.59324	7.36602	7.71717	7.11061	7.24663	8.06474	7.54628	7.61666	8.02117	7.32788	7.7884	7.15821	7.81259	8.0824	7.95041	7.37945	7.28654	7.73653	8.38927	7.75193	8.1427	7.71842	7.53315	7.38794	8.20453	7.83926	7.43022	7.33949
MAP2K2	7.48644	7.66707	8.13105	7.62731	8.15942	7.59849	8.09026	7.12767	7.9442	7.78791	7.80846	7.91066	7.61782	7.63306	7.34899	7.82768	7.30075	7.98407	8.02969	8.14335	8.28969	7.95041	7.74279	7.26303	7.33137	7.6489	7.2133	7.3867	7.28339	7.35347	7.38924
COASY	7.2819	7.88865	7.69691	8.02242	7.4501	8.13169	7.45109	7.44759	6.95926	7.4386	7.55703	7.33029	7.07762	7.66456	7.47172	7.53635	7.058	7.07321	8.18828	8.17431	7.14346	7.54215	7.87023	7.58726	6.65277	8.11851	7.11118	8.06664	6.73555	6.96512	7.14935
CEP350	7.60127	6.87624	7.61632	7.70935	6.70089	6.81248	7.21502	8.09408	6.98981	7.2831	7.08401	7.26626	7.20385	7.28751	6.98241	7.45244	7.38164	7.06454	7.51893	7.4181	7.18536	7.46874	6.75087	7.01074	7.50328	7.62321	8.13577	7.63385	7.8859	7.36853	7.89507
COX7A2	7.43757	8.0819	7.04445	7.38131	7.32171	7.61197	7.54062	7.86404	7.39262	7.45857	7.52827	7.97221	7.86916	7.6625	7.90897	7.18939	7.21726	7.01596	7.87797	7.78553	7.29757	7.17667	8.05304	7.29107	7.77214	7.37852	6.83949	7.02411	7.43372	6.79142	7.39467
ITGA2	6.48826	6.47648	7.48568	6.82737	8.3583	6.85753	8.35008	7.67318	7.49879	2.32652	9.0086	4.65281	0.563073	8.98781	2.82309	8.31941	8.18693	6.05597	5.36537	5.39896	3.97761	6.94033	6.47106	9.0797	5.67955	6.72908	5.6052	9.10088	7.00918	8.14829	6.45065
SCYL1	7.42394	7.9483	7.35026	7.15477	7.61852	7.61358	7.85767	7.8256	7.38924	7.69252	7.29137	8.10567	7.23027	7.32675	7.55315	7.94367	7.14293	7.81259	7.12803	7.13122	7.15727	7.43123	8.01537	7.30767	7.7297	7.34993	7.69596	7.06077	7.76278	7.48273	7.69348
STK38	6.68252	7.67401	8.24632	7.45857	7.47554	7.36291	8.6521	6.43026	7.58136	7.74086	6.41473	7.37461	7.24279	7.76646	7.60286	7.32363	8.13169	8.00807	6.72972	6.64181	7.65241	7.14004	7.67113	8.29152	8.04058	7.40636	8.69613	8.39101	6.66908	6.78814	8.01997
SSH3	7.17085	7.84084	7.38888	6.58581	5.44132	7.81375	5.81312	6.95158	6.63628	6.49083	5.48326	6.02965	5.37485	7.06096	5.3906	6.91822	6.93444	6.10014	6.63043	6.6624	5.82977	6.34444	7.86404	7.32605	7.50241	6.69426	7.13098	6.69129	6.67237	7.87896	6.58061
BBX	6.90209	7.77577	7.92865	8.29739	7.43219	7.46456	7.96772	7.79668	7.08712	7.6489	8.24732	7.4031	7.34935	7.87326	7.25178	7.80329	7.69564	8.25953	7.18481	7.08677	7.95812	7.24047	7.73434	7.43259	7.45576	8.25643	7.26109	7.99241	7.93108	7.82473	7.50616
EML4	7.06778	7.89107	7.98963	7.88184	7.69252	7.62887	7.90223	7.3819	7.61358	8.0346	7.57353	7.2434	7.2903	7.60099	7.76696	8.02853	8.18111	7.50328	6.98574	6.92404	7.91657	7.56852	7.89507	7.76001	8.26166	7.81166	7.27136	7.66741	7.48538	7.09112	7.15158
KIRREL	0.883654	7.25834	5.58222	6.01945	7.83667	7.78553	8.31337	8.45553	7.91539	9.64221	8.52265	8.73682	8.84923	7.7597	8.46579	7.4439	6.33096	8.47307	7.94619	7.9531	9.31789	8.45957	7.23832	7.54839	7.90851	6.08626	8.3308	8.34187	4.23927	2.891	8.39101
CHMP1A	7.10668	7.57985	8.18759	7.8023	7.69863	7.54356	7.25452	7.32333	7.59971	7.41887	6.7775	7.76001	7.27801	7.91119	6.68572	7.51492	8.32673	7.52619	7.41928	7.46111	7.16849	7.91539	7.63746	7.85132	7.69214	7.93108	7.52316	7.99755	7.07444	7.11518	7.35673
LY6E	7.71307	7.58574	8.31941	8.04594	5.56192	7.5128	6.71995	6.94627	7.19388	5.40839	6.08249	8.18623	8.02969	8.574	7.12837	7.11012	7.89051	6.61612	7.18422	7.16158	5.09701	6.63422	7.59044	6.30842	7.00382	8.09283	6.41942	6.8206	6.20818	8.22446	6.50887
TES	7.14609	7.67531	6.92745	6.67631	6.86921	7.87997	7.88963	7.28061	0.901438	8.48787	4.52386	7.45244	4.43212	7.03453	7.81259	7.6485	7.9559	7.81467	8.36699	8.31506	7.65881	6.72717	7.69129	8.24286	7.88918	6.60473	6.93783	8.30614	7.52286	7.95761	8.32288
LETM1	7.3483	7.71797	7.58299	7.27229	8.21869	7.8785	7.48506	8.04649	7.13257	7.11012	7.57615	6.83232	7.54324	6.91822	6.45802	7.02016	7.1	7.06398	7.98473	8.0544	7.12993	7.12952	7.77577	7.1222	7.23766	7.26734	7.00048	7.39218	7.61852	8.16312	7.93108
KNTC1	7.88095	6.26051	7.34632	8.02904	6.96493	7.45975	7.67531	7.73008	7.60548	7.86544	7.44103	7.2246	7.42627	7.64344	7.21129	7.64383	7.48538	7.27706	8.18269	8.09942	6.73706	7.83011	6.11564	7.71842	7.2574	7.99356	7.90008	7.71192	7.70162	7.42912	7.35137
RSL24D1	7.82612	7.66504	7.23027	7.19022	7.44519	7.11813	7.19332	7.78071	7.88446	7.94218	8.59137	7.53459	7.12018	7.52688	7.00836	6.8791	6.94627	7.29107	8.0435	8.00159	8.0806	7.2006	7.67318	7.12166	7.37122	7.11012	7.3823	7.5242	7.33824	7.98288	7.64257
POLDIP3	8.04879	8.15805	7.37252	7.41315	7.05602	7.49957	7.51165	7.13328	8.10372	7.68133	7.41928	7.87174	7.52619	7.55857	7.4553	7.6413	7.67233	7.64652	7.8463	7.79456	7.23147	8.13388	8.14952	7.714	7.77394	7.52349	7.58686	7.56083	7.56967	7.74002	7.57985
RABGAP1	7.39634	7.26324	7.88494	7.28549	6.9766	7.77214	7.21441	6.91997	7.25396	7.57504	6.9132	7.04356	7.31886	8.01248	7.58817	7.46664	7.56564	6.85546	7.83726	7.75884	7.11578	7.63433	7.29526	7.62407	7.11478	7.29699	7.60674	7.67069	7.54095	7.98229	7.52495
ATF7IP	7.63476	7.52495	7.58726	7.67157	8.02242	7.17852	7.34899	7.38702	7.27386	7.47207	7.47106	7.40433	7.59587	8.48487	7.38955	7.51456	7.48467	7.21668	7.49998	7.42123	7.65682	7.71307	7.57011	7.9322	7.30016	7.59849	6.90246	7.27868	7.31886	8.34187	7.5043
MRPS27	7.36818	7.55357	7.07444	6.48276	7.96533	7.67905	7.83011	7.6796	7.61702	7.50241	8.49689	7.25342	8.02117	7.54142	7.28162	7.73903	6.92716	7.22805	8.06195	8.00983	7.53986	7.27968	7.53348	7.01097	6.72717	6.51247	7.24757	7.74403	7.73517	7.59632	7.64609
ZMYND8	7.99811	7.0271	8.27136	6.93231	7.81	7.18096	7.61702	6.75263	7.43898	7.52022	8.10968	6.97774	7.25205	7.58765	6.97042	7.09792	7.32919	6.68963	7.97045	8.02065	6.79264	6.63455	7.07157	7.24085	6.87248	6.9497	5.42541	7.43123	6.87596	8.57906	7.6311
TMEM245	7.03721	7.15035	7.80422	7.32605	7.40988	7.7622	8.23285	8.25323	7.51007	7.79957	7.35108	7.37708	7.73172	8.16683	8.41046	7.41985	7.42688	7.46073	7.4758	7.46392	7.45576	7.56929	7.20152	8.11295	6.86647	7.30867	7.7218	8.05669	7.56377	8.38619	7.48404
FKBP3	7.70796	6.83459	7.01225	6.46262	7.4497	8.10058	7.46874	6.74047	7.74437	7.49311	7.56308	7.48246	7.61741	7.91801	7.64046	7.3853	7.31129	6.91997	7.29422	7.18844	7.78436	8.03571	6.83791	7.22055	7.08401	6.37335	7.38604	7.56602	8.01997	7.42657	7.35933
PRSS8	7.33796	7.31103	7.18184	7.60587	2.26083	6.48072	2.87718	0.0297063	6.8853	3.05792	1.75778	2.62656	0.568532	6.64731	0.761125	6.43757	8.32926	1.03126	6.89234	6.92898	1.31474	6.52531	7.3526	6.76673	7.13836	7.70207	0.358576	6.66652	7.68562	9.49797	7.61592
CAMK2N1	7.69214	6.60946	8.81216	6.03001	4.04462	7.75792	5.93975	5.21754	6.59408	4.56714	6.44602	6.23169	4.85817	7.54254	6.40329	6.86808	8.61382	6.6492	4.236	3.85175	5.31094	7.27351	6.6255	8.27136	7.39928	5.9943	0.563073	7.66707	7.40574	7.55496	4.61433
CREB3L2	7.73208	7.83144	6.66555	6.48547	6.59581	6.19544	7.90108	7.15875	7.42123	8.1076	8.18468	7.87023	6.37686	6.52768	8.02552	6.9365	7.20765	8.33755	7.82278	7.82768	7.48678	7.0154	7.8318	7.64998	7.1936	6.44957	7.63306	5.83694	7.17667	7.99064	8.03624
MLLT1	8.3649	7.60876	7.70665	7.75319	7.8538	7.80898	7.78918	6.7018	7.49311	7.71112	7.59548	7.13607	7.88184	7.73903	7.87651	7.84329	7.1664	7.78918	8.03929	8.12703	7.42123	7.60504	7.68756	7.07918	7.30907	7.8287	6.90789	7.3523	7.73208	7.09825	7.97221
PPIG	7.72008	7.46421	7.71484	7.53986	7.63746	7.89449	7.30463	7.99811	7.28061	7.78918	7.80472	7.9773	7.322	7.81853	7.38464	7.37497	7.38575	7.03507	7.65444	7.55462	7.69396	7.77484	7.42627	7.25917	7.714	7.4088	7.87326	7.70067	7.52387	7.24019	7.6293
PIK3R3	8.37309	7.39185	7.44036	7.90483	5.55677	6.60126	4.92111	5.79338	5.94527	6.89799	6.01484	6.89467	7.47513	7.37748	7.07853	5.05176	8.50056	6.19276	6.71306	6.7397	7.27537	6.81002	7.45147	6.24103	7.72275	7.93986	7.85433	5.20581	7.41848	7.86454	8.10894
TSPAN14	7.2398	7.46035	7.4449	8.0544	8.0747	6.72694	7.75193	7.34297	7.23265	7.25709	6.38124	5.57379	6.72745	6.91517	6.52682	8.01757	7.52286	6.50887	7.54406	7.65567	6.27297	6.8645	7.47374	7.83974	7.21538	8.13522	6.76591	7.40154	6.70067	7.83817	8.54803
NUDCD3	6.91997	6.68216	7.51096	6.81031	7.23555	6.7865	7.80047	7.49532	7.72715	7.14041	7.27941	7.09763	7.80846	7.25805	7.86716	7.21441	7.82955	7.76278	7.97112	8.01081	7.21502	7.01097	6.77845	7.11979	7.55738	6.91997	6.61317	7.34789	7.20092	7.48708	8.03691
GTF3C2	7.54987	7.52921	7.5948	7.90586	7.04818	7.57947	7.24047	7.07029	7.56671	7.89649	7.281	7.65079	6.90757	7.11549	7.54839	8.56305	7.42554	7.37612	7.9699	7.94619	7.13257	7.09261	7.545	7.4629	7.8014	7.96705	6.98	7.63433	7.53129	7.91603	7.57876
ZC3H13	7.81572	7.65881	7.82078	7.88236	7.31763	7.35172	7.12644	7.20649	7.15897	7.73615	7.52875	7.99303	7.71928	7.36159	6.92956	7.44289	7.05771	7.1738	7.45491	7.39123	8.14212	7.80795	7.64426	7.18572	6.40988	7.79131	7.99522	7.46955	8.407	7.34689	7.61472
FEN1	7.80516	6.79296	7.1764	7.45207	7.85433	7.78398	8.06195	8.18338	7.69129	8.03336	6.9146	8.04594	7.93014	7.66425	7.49673	7.68046	7.32396	7.70471	7.7107	7.70559	7.11634	7.9139	6.87248	7.21268	8.25021	7.43722	7.70977	7.40636	7.8023	6.21397	7.85722
WAPL	7.57615	7.41315	6.95109	6.87459	8.00159	7.42394	7.7574	7.30222	7.35701	7.80047	7.74437	7.37539	7.68292	7.11205	7.49173	7.87593	7.21212	7.34168	7.60204	7.64046	7.4501	7.71235	7.46322	7.38604	7.54777	6.76229	7.39851	7.65444	7.16849	7.90424	7.4817
OSBPL9	6.1712	7.54839	7.82034	7.92188	8.01868	8.18404	7.71589	7.99064	7.77298	7.90062	7.59006	7.80001	7.36373	7.88409	7.75237	7.72665	7.78966	7.08153	6.88045	6.82842	7.01449	7.28687	7.48138	7.52387	8.25487	7.86544	7.84028	7.98852	6.97305	6.29873	8.03081
CDC123	7.38575	7.23893	7.15681	8.27927	8.10431	8.08003	7.74933	7.87373	7.9559	7.71669	7.84937	7.39262	8.00866	7.5242	7.71625	7.88095	7.98913	7.07669	7.68442	7.64558	7.67276	8.35563	7.29636	7.56275	7.18967	8.23501	7.09763	7.67352	7.48506	7.60995	8.11489
ELOA	7.78307	7.52215	7.45315	7.69863	7.76823	7.56739	7.68627	7.3317	7.34727	7.61393	7.79812	8.00335	7.76461	7.27311	7.63198	8.09741	7.86018	7.65648	7.74894	7.7471	7.72544	8.0586	7.53279	7.62032	8.00335	7.69863	7.37461	7.68595	7.27351	7.22118	7.46212
BAG3	6.78324	7.4155	6.03636	6.61563	7.01688	6.72235	7.70207	8.07096	7.48568	6.86556	7.14437	7.36781	7.70424	7.29797	6.69315	8.3929	7.50862	7.36781	7.14522	7.13147	7.7471	7.17198	7.34593	7.344	6.69017	6.72937	5.81021	7.59124	6.68216	7.10344	6.15571
KRAS	6.86946	8.14891	7.15477	7.30806	7.4614	7.86586	6.68912	7.26734	7.22297	7.62274	7.40775	7.3327	7.04877	7.5339	6.27631	7.67905	7.40119	6.90356	7.26079	7.28687	7.60049	7.33586	8.21288	7.76553	7.09792	7.29954	7.30997	7.82278	6.75321	8.13105	8.20917
ARMT1	6.56189	6.50027	6.89653	6.40555	6.38717	6.6151	6.64578	6.92214	6.68991	7.42657	6.5155	6.23693	6.60622	6.0646	6.18003	6.89043	6.77122	6.48118	6.25519	6.27464	6.4861	6.52949	6.43367	7.06035	6.55747	6.35589	6.79675	6.12034	6.45213	6.5431	5.96591
KMT2C	7.66504	7.63059	7.74403	7.4074	6.89681	6.66052	6.97631	6.94937	6.0791	7.3529	6.96406	7.41216	6.93951	7.25609	6.65146	6.15313	7.69995	6.99823	7.58179	7.55247	7.22954	7.03091	7.54666	6.93848	6.88558	7.42123	7.59783	7.26393	8.03398	8.01997	7.82822
NCLN	7.30331	7.65966	7.09289	7.41961	8.03081	7.66741	7.95252	7.24757	7.70424	7.75237	7.9964	7.57947	7.84804	7.24208	7.63997	8.10641	6.92927	8.14683	8.23134	8.36595	7.70896	7.9559	7.73653	7.58534	6.93208	7.55462	7.06895	7.57011	7.27537	7.01596	7.38021
SFT2D2	7.09518	8.35756	6.71058	7.74403	6.76508	6.51731	6.69231	7.25428	7.42495	7.1782	6.71142	7.04223	7.29727	7.40603	6.77285	7.09433	8.31424	6.6685	8.05494	8.18897	6.92054	7.07822	8.52805	7.23954	8.10894	7.76278	9.09548	7.42394	7.3004	7.19218	8.60132
EXOSC10	7.81033	6.81375	7.4088	7.66741	7.88136	7.86863	8.08491	7.32486	7.56459	7.76741	7.67157	7.84937	8.01081	7.34967	8.0819	7.9515	7.74437	7.75014	7.94099	7.82179	7.84134	7.65721	6.76737	7.42879	7.03992	7.6532	6.97265	7.61514	7.11478	7.55399	7.43372
ACACA	7.44356	7.36675	6.58678	7.66049	6.96731	7.11923	7.05711	6.78324	6.44207	7.60127	7.53715	6.56648	7.3806	7.17266	6.45201	7.37213	7.40775	7.46994	7.70896	7.68514	7.0508	7.85241	7.32396	7.33362	6.61112	7.65031	6.69044	7.71969	7.52875	7.39496	7.86146
RNF19A	7.87274	8.48378	6.9367	8.39101	6.84785	6.92054	6.91083	6.27771	6.63073	6.70617	6.69807	6.15766	7.58817	7.19303	7.21608	6.79457	7.43052	7.59085	7.12708	7.05542	7.63831	7.13706	8.49876	7.23056	7.17136	8.32673	8.27927	7.17136	7.48741	7.196	8.51705
TNKS2	7.86673	7.51052	7.04733	7.66204	6.91594	7.23462	7.45315	7.08125	7.28857	7.71346	7.60834	7.13049	7.53058	7.05419	7.08855	8.01816	7.13671	7.3483	7.59849	7.53598	7.47029	7.29636	7.39743	7.45184	7.68964	7.62236	7.62769	7.60427	7.45817	8.39678	7.55576
ODF2	7.76741	6.78842	7.95865	7.0233	7.5518	7.31827	7.48841	7.74667	7.47928	7.4141	7.46007	7.03875	8.06421	7.4629	8.23985	7.53279	7.34967	7.42423	7.68712	7.64164	7.53525	7.48246	6.79041	7.34935	7.66167	6.94687	7.00969	7.43898	7.28462	7.84892	7.20941
PNRC2	8.28007	7.22398	7.43095	7.36569	7.64961	7.92188	7.42752	6.56091	6.83868	8.0747	7.97791	7.55357	7.91958	7.58214	7.4031	7.72008	7.68514	7.55215	7.11894	7.03091	7.35417	7.45857	7.14819	7.79668	8.0513	7.28517	6.91126	7.54472	7.50393	7.83468	7.59632
TOR1AIP1	7.54918	7.20765	7.68442	7.77577	6.9769	6.87044	7.6532	8.10968	7.56046	7.22525	7.2293	7.98579	7.35933	7.29854	7.02758	7.46769	7.74971	7.35895	7.30648	7.31705	7.11518	7.32428	7.1924	7.44902	7.73772	7.7107	8.86155	7.58686	7.39185	6.96318	7.28786
NUDT5	7.04555	7.32919	7.17911	8.59765	7.80568	8.01296	7.64426	7.7297	8.04701	7.4497	7.55357	7.28517	7.82328	7.84804	7.62201	7.5518	8.01997	6.5906	7.66122	7.55964	7.64164	8.13239	7.28786	7.69129	7.43961	8.56887	7.27736	7.51569	7.23397	7.40433	8.15942
