id	ER-ERR1084763_PE	ER-ERR1084764_PE	ER-ERR1084765_PE	ER-ERR1084775_PE	ER-ERR1084805_PE	ER-ERR1084806_PE	ER-ERR1084811_PE	TN-ERR1084766_PE	TN-ERR1084768_PE	TN-ERR1084798_PE	TN-ERR1084799_PE	TN-ERR1084800_PE	TN-ERR1084801_PE	TN-ERR1084802_PE	TN-ERR1084803_PE	TN-ERR1084804_PE	TN-ERR1084807_PE	TN-ERR1084808_PE	TN-ERR1084809_PE	TN-ERR1084810_PE
ENSG00000050405	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.20	0.00	0.00	0.00
ENSG00000052802	0.00	0.00	4.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.37	0.00	0.00	0.00	0.00	0.00	2.80	0.00	0.00	0.00
ENSG00000053372	0.00	3.38	7.29	0.00	5.62	0.00	0.00	0.00	0.00	0.00	1.78	0.00	3.42	6.58	0.00	7.00	2.10	0.00	0.00	0.00
ENSG00000053501	0.00	0.00	0.00	0.00	0.00	NA	0.00	2.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.82	0.00	0.00	0.00
ENSG00000053524	0.00	1.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000054267	0.00	0.00	0.00	0.00	NA	0.00	0.00	0.00	NA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.58
ENSG00000054654	6.64	25.73	19.51	6.77	1.56	63.10	40.95	0.00	19.07	16.14	22.46	16.74	54.44	49.70	9.84	17.81	36.70	9.44	43.03	9.46
ENSG00000054690	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.16	0.00	1.07	0.00	0.00	0.00	0.00	0.00	0.00	2.29	0.00	0.00	0.00
ENSG00000055332	0.76	0.00	0.00	NA	0.00	0.00	0.00	NA	0.00	0.00	NA	0.00	0.00	0.00	0.00	0.00	0.00	1.32	0.00	0.00
ENSG00000057019	0.00	0.00	0.00	0.00	0.00	11.32	0.00	0.00	0.00	0.00	0.00	11.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000058668	0.00	1.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.83	0.00	1.56	0.00	0.83	2.99	0.00	0.00	0.00
ENSG00000058866	0.00	0.00	0.00	2.00	1.34	0.00	0.00	171.37	14.32	4.81	56.98	5.25	3.88	11.81	8.15	1.32	332.56	296.07	69.64	134.25
ENSG00000059145	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.25	0.00	0.00	0.00
ENSG00000059588	0.00	0.00	0.00	NA	0.00	0.00	0.00	0.00	NA	0.00	0.00	0.00	0.00	NA	0.00	0.00	0.00	0.00	0.00	1.20
ENSG00000059691	0.00	0.00	0.00	0.00	0.00	0.00	1.16	0.00	0.58	0.00	0.00	0.00	0.00	2.19	0.00	0.00	0.00	0.00	0.63	0.00
ENSG00000060138	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.44
ENSG00000060339	0.00	0.00	0.00	0.00	0.00	2.07	1.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.90	0.00
ENSG00000063322	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.94	0.00	0.00	0.00
ENSG00000064012	7.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000064692	7.13	19.39	32.98	52.64	309.52	57.83	30.08	292.09	0.00	4.29	14.89	2.00	34.41	9.22	7.62	10.05	6.35	71.68	37.01	0.00
ENSG00000065154	0.00	8.58	4.63	1.78	9.51	0.00	0.00	35.18	13.25	14.43	29.40	4.43	8.70	0.00	2.30	15.56	10.70	0.00	2.42	56.25
ENSG00000065413	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000065621	0.00	2.86	0.00	0.00	0.00	0.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.81	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000066044	0.00	0.00	0.00	0.00	6.56	5.88	0.00	5.91	0.00	0.00	6.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.46
ENSG00000066056	2.91	0.00	0.00	0.00	0.00	1.28	0.00	1.56	0.00	0.00	0.00	0.00	0.00	2.41	1.31	0.00	0.00	0.00	2.78	0.00
ENSG00000066427	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.08	1.26	0.00	0.66	1.07	0.60	0.00
ENSG00000066468	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.85	5.02	0.00	0.00	0.00	1.20
ENSG00000067334	0.00	0.00	1.85	0.00	0.00	1.78	0.00	0.00	0.00	0.00	0.90	114.32	0.87	0.00	0.00	0.00	0.00	0.00	5.79	0.00
ENSG00000067798	0.00	0.00	0.00	0.00	0.00	9.35	0.00	0.00	0.00	0.00	0.00	0.00	7.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000067842	0.00	0.00	1.24	0.76	1.03	0.59	0.00	75.85	8.53	15.82	26.71	26.38	1.17	0.00	58.39	12.23	134.05	8.39	2.08	0.87
ENSG00000068400	0.00	0.00	0.00	0.00	0.00	0.00	2.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000068489	3.51	0.00	0.00	0.00	2.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000069431	9.47	5.52	5.01	2.32	1.62	5.75	17.16	1.55	1.53	5.66	2.87	842.66	4.95	5.84	3.22	1.85	2.52	0.63	11.70	2.84
ENSG00000069812	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.93	0.00
ENSG00000069869	69.63	470.79	423.48	251.34	262.37	521.42	602.03	115.44	583.21	502.88	182.33	8118.27	306.08	855.94	319.76	457.05	1558.91	188.90	1490.94	29.43
ENSG00000069974	0.00	0.00	0.00	0.91	0.00	0.00	0.00	0.00	1.13	0.00	1.16	0.00	0.00	6.46	2.35	1.14	2.73	1.10	0.00	2.07
ENSG00000070010	1.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000070182	0.00	0.00	0.00	0.00	0.00	0.00	1.62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000070190	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.26	0.00	0.00	0.00	1.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.22
ENSG00000070501	0.00	0.00	0.00	0.00	0.00	0.00	17.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000070601	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.27	0.00	21.11
ENSG00000070669	0.00	34.06	12.29	4.28	56.31	2.66	0.00	29.14	52.81	5.97	0.00	0.00	80.31	0.00	67.51	41.07	106.35	11.55	89.63	0.00
ENSG00000070729	0.00	0.00	1.94	2.81	8.51	0.00	11.15	0.00	191.51	0.76	45.41	0.00	0.91	1.75	7.79	2.79	129.91	102.49	231.77	114.86
ENSG00000070756	99893.55	83571.08	79817.61	109401.82	54038.08	124975.27	100373.14	42257.91	124096.99	44352.71	43079.85	119898.03	70818.29	55036.19	57970.61	53923.77	94535.87	34689.61	93144.71	72465.13
ENSG00000070770	544.74	547.32	641.89	288.31	378.30	561.07	813.43	244.94	830.03	974.97	1079.26	670.73	1759.64	715.66	1341.39	318.72	2889.97	792.92	924.87	526.02
